Date,State,District,Pincode,Bio_age_5_17,Bio_age_17+
01-03-2025,Jharkhand,Garhwa,822120,683,1178
01-03-2025,Maharashtra,Solapur,413301,55,142
01-03-2025,Tamil Nadu,Salem,636203,88,122
01-03-2025,Gujarat,Bhavnagar,364001,843,801
01-03-2025,Rajasthan,Jhalawar,326516,54,108
01-03-2025,Madhya Pradesh,Ashok Nagar,473331,832,1099
01-03-2025,Karnataka,Mysuru,570008,149,269
01-03-2025,Bihar,Begusarai,848202,750,922
01-03-2025,Chhattisgarh,Jashpur,496330,93,500
01-03-2025,Bihar,Muzaffarpur,843102,151,154
01-03-2025,Uttar Pradesh,Allahabad,212302,691,117
01-03-2025,Kerala,Kannur,670702,208,238
01-03-2025,Arunachal Pradesh,Kurung Kumey,791118,93,536
01-03-2025,Kerala,Malappuram,679328,172,103
01-03-2025,Maharashtra,Sangli,415409,250,574
01-03-2025,Bihar,Muzaffarpur,844111,45,106
01-03-2025,Telangana,Medak,502117,29,51
01-03-2025,Maharashtra,Akola,444103,198,715
01-03-2025,Rajasthan,Jaipur,303805,273,239
01-03-2025,Tamil Nadu,Cuddalore,607205,122,84
01-03-2025,Uttar Pradesh,Gorakhpur,273155,93,83
01-03-2025,Telangana,Medak,502278,93,70
01-03-2025,Assam,Udalguri,784528,74,23
01-03-2025,Rajasthan,Bharatpur,321410,90,67
01-03-2025,Andhra Pradesh,Chittoor,517370,154,58
01-03-2025,Maharashtra,Amravati,444806,587,1867
01-03-2025,Madhya Pradesh,Ujjain,456224,386,668
01-03-2025,Bihar,Samastipur,848504,687,721
01-03-2025,Andhra Pradesh,Visakhapatnam,530017,332,375
01-03-2025,Rajasthan,Jodhpur,342025,579,636
01-03-2025,Maharashtra,Thane,400709,351,745
01-03-2025,Delhi,South West Delhi,110010,295,500
01-03-2025,Jharkhand,Godda,814156,686,571
01-03-2025,Delhi,South Delhi,110017,327,456
01-03-2025,Karnataka,Dakshina Kannada,574199,111,285
01-03-2025,Uttar Pradesh,Amethi,227815,220,138
01-03-2025,Maharashtra,Thane,400607,295,581
01-03-2025,Haryana,Yamuna Nagar,135003,347,736
01-03-2025,Madhya Pradesh,Indore,452018,120,125
01-03-2025,Madhya Pradesh,Datia,475661,748,976
01-03-2025,Jammu and Kashmir,Doda,182204,13,102
01-03-2025,Gujarat,Kachchh,370201,579,440
01-03-2025,Uttarakhand,Almora,263622,86,82
01-03-2025,Telangana,Nalgonda,508250,101,135
01-03-2025,West Bengal,Birbhum,731127,78,105
01-03-2025,Andhra Pradesh,Chittoor,517002,307,182
01-03-2025,Tamil Nadu,Tiruchirappalli,621208,56,82
01-03-2025,Maharashtra,Sangli,416407,99,158
01-03-2025,Uttarakhand,Haridwar,249401,89,107
01-03-2025,Bihar,Bhojpur,802208,167,605
01-03-2025,Uttar Pradesh,Aligarh,202137,373,153
01-03-2025,Uttar Pradesh,Allahabad,211008,536,257
01-03-2025,Tamil Nadu,Villupuram,607202,138,21
01-03-2025,West Bengal,Bankura,722134,147,111
01-03-2025,Karnataka,Belgaum,591224,105,106
01-03-2025,Kerala,Kollam,690573,85,133
01-03-2025,Assam,Kamrup Metro,782403,246,122
01-03-2025,Uttar Pradesh,Unnao,209821,1137,449
01-03-2025,Tamil Nadu,Sivaganga,630107,68,63
01-03-2025,Tamil Nadu,Salem,636458,54,126
01-03-2025,Andhra Pradesh,Krishna,521301,425,320
01-03-2025,Tamil Nadu,Salem,636309,363,375
01-03-2025,Telangana,Mahabubnagar,509334,169,177
01-03-2025,Himachal Pradesh,Kangra,176056,101,177
01-03-2025,Uttar Pradesh,Azamgarh,223224,224,240
01-03-2025,Assam,Kokrajhar,783337,753,131
01-03-2025,Bihar,Aurangabad,824101,196,184
01-03-2025,Uttar Pradesh,Hardoi,241122,637,172
01-03-2025,Punjab,Tarn Taran,143416,472,1422
01-03-2025,Tamil Nadu,Chennai,600006,62,81
01-03-2025,Odisha,Kalahandi,766018,257,660
01-03-2025,Tamil Nadu,Dharmapuri,636804,196,57
01-03-2025,Telangana,K.v. Rangareddy,500037,217,242
01-03-2025,Bihar,Buxar,802127,53,100
01-03-2025,Telangana,Nalgonda,508266,77,110
01-03-2025,Gujarat,Kachchh,370660,52,28
01-03-2025,Maharashtra,Mumbai,400088,144,431
01-03-2025,Haryana,Panipat,132104,214,510
01-03-2025,Telangana,Nizamabad,503120,22,61
01-03-2025,Telangana,Khammam,507209,110,78
01-03-2025,Uttar Pradesh,Gorakhpur,273402,297,433
01-03-2025,Punjab,Sri Muktsar Sahib,151212,71,240
